name,dataset,type,len,attempt,leader,input_size,hidden_layers,hidden_layers_divisor,z_layer_divisor,dropout,learning_rate,batch_size,masking,mask_size,gen_loss,disc_loss,val_loss,epochs
20240209172236,Task 1,Adversarial AE,1,3,20240209171726.0,4096,2,2,32,0.1,1e-05,16,True,0.5,0.7649033665657043,0.6275202631950378,0.0178359225392341,24
20240209172327,Task 1,Vanilla AE,1,4,20240209171726.0,4096,2,2,32,0.1,1e-05,16,True,0.5,,,0.0174281224608421,38
20240209172411,Task 1,Adversarial AE,1,4,20240209171726.0,4096,2,2,32,0.1,1e-05,16,True,0.5,1.057302713394165,0.4304975569248199,0.0073940544389188,109
20240218235712,Task 1,Adversarial AE,3,0,,12288,2,6,24,0.5,1e-05,32,False,0.5,0.4605345726013183,1.045274257659912,0.0185421947389841,1
20240218235756,Task 1,Vanilla AE,3,0,20240218235712.0,12288,2,6,24,0.5,1e-05,32,False,0.5,,,0.0037811584770679,88
20240219000309,Task 1,Adversarial AE,3,1,20240218235712.0,12288,2,6,24,0.5,1e-05,32,False,0.5,0.3710704743862152,1.5755736827850342,0.0177024044096469,1
20240219000352,Task 1,Vanilla AE,3,1,20240218235712.0,12288,2,6,24,0.5,1e-05,32,False,0.5,,,0.0010301867732778,88
20240219000542,Task 1,Adversarial AE,3,2,20240218235712.0,12288,2,6,24,0.5,1e-05,32,False,0.5,0.4613379538059234,1.6149308681488037,0.020032275468111,1
20240219000626,Task 1,Vanilla AE,3,2,20240218235712.0,12288,2,6,24,0.5,1e-05,32,False,0.5,,,0.0064743398688733,85
20240219000814,Task 1,Adversarial AE,3,3,20240218235712.0,12288,2,6,24,0.5,1e-05,32,False,0.5,0.4252064228057861,1.2991527318954468,0.0193113777786493,1
20240219000857,Task 1,Vanilla AE,3,3,20240218235712.0,12288,2,6,24,0.5,1e-05,32,False,0.5,,,0.0058781690895557,81
20240219001045,Task 1,Adversarial AE,3,4,20240218235712.0,12288,2,6,24,0.5,1e-05,32,False,0.5,0.378568559885025,2.622133731842041,0.0180122964084148,1
20240219001129,Task 1,Vanilla AE,3,4,20240218235712.0,12288,2,6,24,0.5,1e-05,32,False,0.5,,,0.0082635879516601,74
20240219002628,Task 1,Adversarial AE,3,0,,12288,1,12,48,0.25,0.0001,16,True,0.25,0.6663548350334167,0.9260654449462892,0.0136559484526515,4
20240219002712,Task 1,Vanilla AE,3,0,20240219002628.0,12288,1,12,48,0.25,0.0001,16,True,0.25,,,0.0101138344034552,11
20240219002801,Task 1,Adversarial AE,3,1,20240219002628.0,12288,1,12,48,0.25,0.0001,16,True,0.25,0.735755443572998,0.6683094501495361,0.012687548995018,5
20240219002845,Task 1,Vanilla AE,3,1,20240219002628.0,12288,1,12,48,0.25,0.0001,16,True,0.25,,,0.0080477679148316,16
20240219002935,Task 1,Adversarial AE,3,2,20240219002628.0,12288,1,12,48,0.25,0.0001,16,True,0.25,0.6635109782218933,0.7601528167724609,0.0109251365065574,5
20240219003018,Task 1,Vanilla AE,3,2,20240219002628.0,12288,1,12,48,0.25,0.0001,16,True,0.25,,,0.0120228650048375,16
20240219145833,Task 1,Adversarial AE,3,3,20240219002628.0,12288,1,12,48,0.25,0.0001,16,True,0.25,0.7911182641983032,0.9600438475608826,0.0143564837053418,5
20240219145917,Task 1,Vanilla AE,3,3,20240219002628.0,12288,1,12,48,0.25,0.0001,16,True,0.25,,,0.0087158568203449,24
20240219150008,Task 1,Adversarial AE,3,4,20240219002628.0,12288,1,12,48,0.25,0.0001,16,True,0.25,0.7325677871704102,2.4313888549804688,0.0163941625505685,1
20240221174756,Task 1,Adversarial AE,3,4,20240219002628.0,12288,1,12,48,0.25,0.0001,16,True,0.25,0.8697046041488647,0.5473282337188721,0.0157809201627969,7
20240221174845,Task 1,Adversarial AE,3,0,,12288,1,6,48,0.1,1e-05,16,False,0.25,0.547876238822937,1.7747472524642944,0.0060685174539685,12
20240221174929,Task 1,Vanilla AE,3,0,20240221174845.0,12288,1,6,48,0.1,1e-05,16,False,0.25,,,0.001176030258648,61
20240221175059,Task 1,Adversarial AE,3,1,20240221174845.0,12288,1,6,48,0.1,1e-05,16,False,0.25,0.5136241316795349,1.0740740299224854,0.0023847136180847,10
