Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.40,0.7565656565656566,0.4625,0.5722328042328042,,0.17807596663465866,0.07126096406869613,0.10390805909874279,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.5722 (0.7566, 0.4625)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.60,0.7924386724386724,0.45,0.5711740369131674,,0.14896519820820692,0.08149003006503311,0.09643203601931544,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.5712 (0.7924, 0.4500)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.20,0.6598013098013098,0.475,0.549434774676154,,0.14321901375328558,0.07126096406869611,0.09088172695407763,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.5494 (0.6598, 0.4750)"
Task 1,12288,Vanilla AE (0.75 Masked),GradientBoostingClassifier,0.5277777777777778,0.5777777777777778,0.5285714285714286,0.5407407407407407,0.24056261216234404,0.36717136981907345,0.2583305902860733,0.4075420652882643,20240223074531:20240223074924:20240223104052,3,"0.5286 (0.5278, 0.5778)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.00,0.5654800101858924,0.475,0.5135123896414219,,0.12416017761801697,0.07126096406869611,0.0876667660067179,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.5135 (0.5655, 0.4750)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.80,0.8111111111111111,0.375,0.5093754940711462,,0.12171612389003694,0.08838834764831845,0.09904090364707305,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.5094 (0.8111, 0.3750)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_0.80,0.4967611336032388,0.5,0.4964054336468129,,0.08986695914876806,0.04419417382415922,0.06104601957178965,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.4964 (0.4968, 0.5000)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.00,0.885,0.3375,0.47775416802876763,,0.11401754250991379,0.11353688827865595,0.1268765715685351,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.4778 (0.8850, 0.3375)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.20,0.885,0.3125,0.44639249639249634,,0.11401754250991379,0.125,0.14660710023720608,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.4464 (0.8850, 0.3125)"
Task 1,12288,Vanilla AE (0.75 Masked),COPOD,0.6,0.31333333333333335,0.4076190476190476,0.515,0.4183300132670378,0.1879716290649558,0.25505323796221707,0.24596747752497686,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.4076 (0.6000, 0.3133)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.40,0.8766666666666666,0.2625,0.38586707410236815,,0.11642832797715319,0.12022115038544591,0.15641890269717137,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.3859 (0.8767, 0.2625)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.60,0.8933333333333333,0.2,0.3156050554192969,,0.1534781924429512,0.08149003006503311,0.11498607374423217,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.3156 (0.8933, 0.2000)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.80,0.8800000000000001,0.1625,0.26446508427932575,,0.17888543819998318,0.07126096406869613,0.0999937545413693,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.2645 (0.8800, 0.1625)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.00,0.8800000000000001,0.15,0.24355005159958715,,0.17888543819998318,0.08385254915624211,0.11997800218488928,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.2436 (0.8800, 0.1500)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.20,0.8833333333333332,0.125,0.21232198142414854,,0.1624465724134828,0.0625,0.0952927899291328,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.2123 (0.8833, 0.1250)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.40,0.9,0.1125,0.19559683522531818,,0.22360679774997896,0.06846531968814576,0.10975280581914484,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.1956 (0.9000, 0.1125)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.60,0.9,0.1,0.17688338493292052,,0.22360679774997896,0.05590169943749474,0.09040794810813699,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.1769 (0.9000, 0.1000)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.80,1.0,0.0875,0.15727554179566564,,0.0,0.05590169943749474,0.0886119817708895,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.1573 (1.0000, 0.0875)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.00,0.8,0.075,0.13374613003095975,,0.4472135954999579,0.06846531968814577,0.11380393946162375,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.1337 (0.8000, 0.0750)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.20,0.8,0.075,0.13374613003095975,,0.4472135954999579,0.06846531968814577,0.11380393946162375,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.1337 (0.8000, 0.0750)"
Task 1,12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.40,0.8,0.075,0.13374613003095975,,0.4472135954999579,0.06846531968814577,0.11380393946162375,,20240223074531:20240223074734:20240223074924:20240223104052:20240223104241,5,"0.1337 (0.8000, 0.0750)"
