Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),SVC,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"1.0000 (1.0000, 1.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),XGBClassifier,0.9166666666666666,1.0,0.9523809523809524,0.888888888888889,0.14433756729740643,0.0,0.08247860988423227,0.19245008972987523,20240225012706:20240225013252:20240225013812,3,"0.9524 (0.9167, 1.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),GradientBoostingClassifier,0.85,1.0,0.9097222222222222,0.9375,0.19148542155126763,0.0,0.11866671868496571,0.125,20240225095015:20240225100416:20240225100707:20240225100959,4,"0.9097 (0.8500, 1.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),GMM,0.8333333333333334,1.0,0.903030303030303,0.5,0.1666666666666667,0.0,0.10013764631429274,0.0,20240227035011:20240227035346:20240227040032,3,"0.9030 (0.8333, 1.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),LogisticRegression,0.8888888888888888,0.9333333333333332,0.8962962962962964,0.9583333333333334,0.19245008972987526,0.11547005383792512,0.10020555006273095,0.07216878364870322,20240225095015:20240225100416:20240225100707,3,"0.8963 (0.8889, 0.9333)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),KNeighborsClassifier,0.7777777777777777,1.0,0.8666666666666667,0.5,0.1924500897298753,0.0,0.11547005383792512,0.0,20240224212821:20240224213554:20240224213826,3,"0.8667 (0.7778, 1.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),HBOS,0.5,0.5388888888888889,0.484126984126984,0.26944444444444443,0.09999999999999998,0.29642936826564664,0.19097157802406287,0.14821468413282332,20240226094318:20240226094634:20240226095250,3,"0.4841 (0.5000, 0.5389)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),COPOD,0.41666666666666663,0.35,0.34285714285714286,0.64375,0.5,0.47258156262526085,0.40674583817262144,0.180710403685012,20240227175936:20240227180308:20240227180700:20240227183209,4,"0.3429 (0.4167, 0.3500)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_0.80,0.44757326007326004,0.2875,0.3392559402117123,,0.07829837680022904,0.14388580541526672,0.12370434856241418,,20240224130936:20240224131201:20240224131426:20240224131651:20240224131923,5,"0.3393 (0.4476, 0.2875)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.00,0.3895238095238095,0.15,0.1961527005920598,,0.08332653033456015,0.12960275845829825,0.11997242131498388,,20240224130936:20240224131201:20240224131426:20240224131651:20240224131923,5,"0.1962 (0.3895, 0.1500)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.20,0.1890909090909091,0.1,0.12698412698412698,,0.2639809660055496,0.16298006013006622,0.19569568263393575,,20240224115420:20240224115644:20240224115916:20240224120149:20240224120405,5,"0.1270 (0.1891, 0.1000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.40,0.4,0.0375,0.06797385620915032,,0.5477225575051662,0.05590169943749475,0.10015153625818538,,20240226183647:20240226184026:20240226184357:20240226184721:20240226185054,5,"0.0680 (0.4000, 0.0375)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.60,0.075,0.046875,0.057692307692307675,,0.15,0.09375,0.11538461538461535,,20240225175316:20240225175619:20240225175927:20240225180233,4,"0.0577 (0.0750, 0.0469)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.80,0.06666666666666667,0.025,0.03636363636363636,,0.14907119849998596,0.05590169943749474,0.08131156281817416,,20240224130936:20240224131201:20240224131426:20240224131651:20240224131923,5,"0.0364 (0.0667, 0.0250)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.00,0.06666666666666667,0.025,0.03636363636363636,,0.14907119849998596,0.05590169943749474,0.08131156281817416,,20240224130936:20240224131201:20240224131426:20240224131651:20240224131923,5,"0.0364 (0.0667, 0.0250)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.20,0.05,0.0125,0.02,,0.11180339887498948,0.02795084971874737,0.0447213595499958,,20240224130936:20240224131201:20240224131426:20240224131651:20240224131923,5,"0.0200 (0.0500, 0.0125)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.40,0.05,0.0125,0.02,,0.11180339887498948,0.02795084971874737,0.0447213595499958,,20240224130936:20240224131201:20240224131426:20240224131651:20240224131923,5,"0.0200 (0.0500, 0.0125)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.60,0.05,0.0125,0.02,,0.11180339887498948,0.02795084971874737,0.0447213595499958,,20240224130936:20240224131201:20240224131426:20240224131651:20240224131923,5,"0.0200 (0.0500, 0.0125)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ABOD,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"0.0000 (0.0000, 0.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.80,0.0,0.0,0.0,,0.0,0.0,0.0,,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"0.0000 (0.0000, 0.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"0.0000 (0.0000, 0.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"0.0000 (0.0000, 0.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"0.0000 (0.0000, 0.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"0.0000 (0.0000, 0.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.80,0.0,0.0,0.0,,0.0,0.0,0.0,,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"0.0000 (0.0000, 0.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"0.0000 (0.0000, 0.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"0.0000 (0.0000, 0.0000)"
Task 2 (25% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240223144434:20240223144649:20240223144905:20240223145122:20240223145339,5,"0.0000 (0.0000, 0.0000)"
