Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.80,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_5.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_5.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_5.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_5.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213233936:20240214000418:20240214002955:20240214005036,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),XGBClassifier,0.6255670005670005,0.680338636695373,0.6434742647058824,0.5870103133469291,0.07726997053741656,0.10165615775357571,0.022143396109661727,0.04765738592911018,20240218135311:20240218140818:20240218142042:20240218143304,4,"0.6435 (0.6256, 0.6803)"
O3 Run,4096,Vanilla AE (0.50 Masked),RandomForestClassifier,0.6117532467532467,0.6145833333333333,0.5987242889825237,0.6478548450630252,0.10795645443092945,0.14180956844904263,0.04954387678241336,0.07180007038443906,20240214233525:20240215014708:20240215034806:20240215060211,4,"0.5987 (0.6118, 0.6146)"
O3 Run,4096,Vanilla AE (0.50 Masked),GradientBoostingClassifier,0.5959131545338442,0.5974310319661363,0.5899788471708092,0.608799490602965,0.11535784199857113,0.1305685049344489,0.09059234183040601,0.052441877117849915,20240218135311:20240218140818:20240218142042:20240218143304,4,"0.5900 (0.5959, 0.5974)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_0.80,0.4621222905128978,0.7827645502645503,0.5808948751189985,,0.024422222357794763,0.08025030566313689,0.040991481413373596,,20240216140843:20240216152641:20240216164732:20240216180831,4,"0.5809 (0.4621, 0.7828)"
O3 Run,4096,Vanilla AE (0.50 Masked),LogisticRegression,0.5511016705069125,0.614233193277311,0.5781926406926406,0.550607652916936,0.09220302864019735,0.11696787431966484,0.09175708650689081,0.11058896565887186,20240214233525:20240215014708:20240215034806:20240215060211,4,"0.5782 (0.5511, 0.6142)"
O3 Run,4096,Vanilla AE (0.50 Masked),ExtraTreesClassifier,0.6113425925925926,0.4211003151260504,0.49378703094140886,0.5386464193631999,0.08666315480380744,0.13637492469083468,0.12788264668300217,0.11608050021323893,20240217153136:20240217154155:20240217154907:20240217160444,4,"0.4938 (0.6113, 0.4211)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.00,0.4492516831227348,0.3828439153439154,0.41127222207516445,,0.043081676813478124,0.1012404828541958,0.07601007377866745,,20240216183954:20240216190737:20240216193409:20240216195600,4,"0.4113 (0.4493, 0.3828)"
