name,dataset,type,len,attempt,leader,input_size,hidden_layers,hidden_layers_divisor,z_layer_divisor,dropout,learning_rate,batch_size,masking,mask_size,gen_loss,disc_loss,val_loss,epochs
20240209091837,Task 2 (10% Noise),Adversarial AE,1,0,,4096,1,8,32,0.5,1e-05,8,True,0.75,0.7262887,0.79089427,0.016902354,42
20240209091932,Task 2 (10% Noise),Vanilla AE,1,0,20240209091837.0,4096,1,8,32,0.5,1e-05,8,True,0.75,,,0.0157808382064104,37
20240209092014,Task 2 (10% Noise),Adversarial AE,1,1,20240209091837.0,4096,1,8,32,0.5,1e-05,8,True,0.75,0.6624204516410828,0.8251258730888367,0.0125851612538099,29
20240209092121,Task 2 (10% Noise),Vanilla AE,1,1,20240209091837.0,4096,1,8,32,0.5,1e-05,8,True,0.75,,,0.0178249180316925,33
20240209092202,Task 2 (10% Noise),Adversarial AE,1,2,20240209091837.0,4096,1,8,32,0.5,1e-05,8,True,0.75,0.6518756747245789,1.0927244424819946,0.0095967631787061,36
20240209092306,Task 2 (10% Noise),Vanilla AE,1,2,20240209091837.0,4096,1,8,32,0.5,1e-05,8,True,0.75,,,0.0109027326107025,92
20240209092356,Task 2 (10% Noise),Adversarial AE,1,3,20240209091837.0,4096,1,8,32,0.5,1e-05,8,True,0.75,0.695401668548584,1.046615719795227,0.0109710525721311,36
20240209092448,Task 2 (10% Noise),Vanilla AE,1,3,20240209091837.0,4096,1,8,32,0.5,1e-05,8,True,0.75,,,0.0095144994556903,56
20240209092542,Task 2 (10% Noise),Adversarial AE,1,4,20240209091837.0,4096,1,8,32,0.5,1e-05,8,True,0.75,0.6676949262619019,0.8688259124755859,0.0079438667744398,34
20240209092634,Task 2 (10% Noise),Vanilla AE,1,4,20240209091837.0,4096,1,8,32,0.5,1e-05,8,True,0.75,,,0.0107573755085468,50
20240209092730,Task 2 (10% Noise),Adversarial AE,1,0,,4096,2,2,32,0.5,1e-05,32,True,0.5,0.7911605834960938,0.6047558784484863,0.0207985080778598,117
20240209092830,Task 2 (10% Noise),Vanilla AE,1,0,20240209092730.0,4096,2,2,32,0.5,1e-05,32,True,0.5,,,0.0129686743021011,212
20240209092932,Task 2 (10% Noise),Adversarial AE,1,1,20240209092730.0,4096,2,2,32,0.5,1e-05,32,True,0.5,0.9412029385566713,0.4960683584213257,0.0110186459496617,300
20240209093119,Task 2 (10% Noise),Vanilla AE,1,1,20240209092730.0,4096,2,2,32,0.5,1e-05,32,True,0.5,,,0.0153712267056107,177
