Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),SVC,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20240228115759:20240228120005:20240228120231:20240228120445:20240228120652,5,"1.0000 (1.0000, 1.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),GMM,0.8333333333333334,1.0,0.903030303030303,0.5,0.16666666666666666,0.0,0.10013764631429274,0.0,20240228133608:20240228133818:20240228134500,3,"0.9030 (0.8333, 1.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),LogisticRegression,0.8888888888888888,0.8888888888888888,0.8666666666666667,0.6875,0.19245008972987526,0.19245008972987532,0.11547005383792512,0.4419417382415922,20240228133608:20240228133818:20240228134500,3,"0.8667 (0.8889, 0.8889)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),XGBClassifier,0.7625,0.9166666666666666,0.8293650793650794,0.763888888888889,0.20564937798755112,0.16666666666666669,0.18253968253968253,0.20553678592984362,20240228152834:20240228153240:20240228153452:20240228153654,4,"0.8294 (0.7625, 0.9167)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),GradientBoostingClassifier,0.75,0.9,0.8111111111111111,0.7680555555555555,0.16583123951777,0.13693063937629155,0.13234588055079557,0.24363027290659756,20240228115759:20240228120005:20240228120231:20240228120445:20240228120652,5,"0.8111 (0.7500, 0.9000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),HBOS,0.5555555555555555,0.3,0.38888888888888884,0.35,0.5091750772173156,0.2645751311064591,0.3469443332443555,0.21213203435596423,20240228133608:20240228133818:20240228134500,3,"0.3889 (0.5556, 0.3000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_0.80,0.2803246753246753,0.1625,0.19602599493903836,,0.12258925104971345,0.12183492931011204,0.1098700580216274,,20240228081859:20240228082109:20240228082312:20240228082518:20240228082723,5,"0.1960 (0.2803, 0.1625)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),COPOD,0.125,0.125,0.125,0.40625,0.25,0.25,0.25,0.27716947282604315,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.1250 (0.1250, 0.1250)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.00,0.24666666666666665,0.0875,0.1248484848484848,,0.20083160441856093,0.05590169943749474,0.08218589351089046,,20240228025639:20240228025834:20240228030031:20240228030228:20240228030414,5,"0.1248 (0.2467, 0.0875)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.20,0.2333333333333333,0.0375,0.06432748538011694,,0.22360679774997896,0.03423265984407288,0.058771202462695245,,20240228081859:20240228082109:20240228082312:20240228082518:20240228082723,5,"0.0643 (0.2333, 0.0375)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.40,0.2,0.0125,0.02352941176470588,,0.4472135954999579,0.02795084971874737,0.05261336417646563,,20240228025639:20240228025834:20240228030031:20240228030228:20240228030414,5,"0.0235 (0.2000, 0.0125)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.60,0.2,0.0125,0.02352941176470588,,0.4472135954999579,0.02795084971874737,0.05261336417646563,,20240228081859:20240228082109:20240228082312:20240228082518:20240228082723,5,"0.0235 (0.2000, 0.0125)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_1.80,0.1,0.0125,0.02222222222222222,,0.223606797749979,0.027950849718747374,0.049690399499995326,,20240228030705:20240228030853:20240228031040:20240228031228:20240228031418,5,"0.0222 (0.1000, 0.0125)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ABOD,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_2.80,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_3.80,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
Task 2 (50% Noise),12288,Vanilla AE (0.75 Masked),ReconstructionThreshold_4.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240228014253:20240228014438:20240228014621:20240228014807,4,"0.0000 (0.0000, 0.0000)"
