name,dataset,type,len,attempt,leader,input_size,hidden_layers,hidden_layers_divisor,z_layer_divisor,dropout,learning_rate,batch_size,masking,mask_size,gen_loss,disc_loss,val_loss,epochs
20240209103156,Task 2 (50% Noise),Adversarial AE,1,0,,4096,2,4,16,0.5,0.0001,32,False,0.5,0.18345717,1.8902985,0.01937563,7
20240209103238,Task 2 (50% Noise),Vanilla AE,1,0,20240209103156.0,4096,2,4,16,0.5,0.0001,32,False,0.5,,,0.0037332742940634,47
20240209103321,Task 2 (50% Noise),Adversarial AE,1,1,20240209103156.0,4096,2,4,16,0.5,0.0001,32,False,0.5,0.2089064419269561,1.672892928123474,0.0167520735412836,7
20240209103401,Task 2 (50% Noise),Vanilla AE,1,1,20240209103156.0,4096,2,4,16,0.5,0.0001,32,False,0.5,,,0.0105181196704506,35
20240209103446,Task 2 (50% Noise),Adversarial AE,1,2,20240209103156.0,4096,2,4,16,0.5,0.0001,32,False,0.5,0.2017896622419357,1.7098897695541382,0.0182254649698734,6
20240209103525,Task 2 (50% Noise),Vanilla AE,1,2,20240209103156.0,4096,2,4,16,0.5,0.0001,32,False,0.5,,,0.007151648402214,34
20240209103608,Task 2 (50% Noise),Adversarial AE,1,3,20240209103156.0,4096,2,4,16,0.5,0.0001,32,False,0.5,0.155059203505516,1.9413120746612549,0.0143775222823023,8
20240209103647,Task 2 (50% Noise),Vanilla AE,1,3,20240209103156.0,4096,2,4,16,0.5,0.0001,32,False,0.5,,,0.0013919802149757,34
20240209103737,Task 2 (50% Noise),Adversarial AE,1,4,20240209103156.0,4096,2,4,16,0.5,0.0001,32,False,0.5,0.1904601752758026,1.7541126012802124,0.0154851824045181,7
20240209103817,Task 2 (50% Noise),Vanilla AE,1,4,20240209103156.0,4096,2,4,16,0.5,0.0001,32,False,0.5,,,0.002897335216403,38
20240209103900,Task 2 (50% Noise),Adversarial AE,1,0,,4096,1,2,8,0.5,1e-05,8,False,0.25,0.8927538990974426,0.5274745225906372,0.0029116007499396,100
20240209104022,Task 2 (50% Noise),Vanilla AE,1,0,20240209103900.0,4096,1,2,8,0.5,1e-05,8,False,0.25,,,0.0019145562546327,96
20240209104113,Task 2 (50% Noise),Adversarial AE,1,1,20240209103900.0,4096,1,2,8,0.5,1e-05,8,False,0.25,0.2548552453517914,1.500466227531433,0.0033480438869446,29
20240209104207,Task 2 (50% Noise),Vanilla AE,1,1,20240209103900.0,4096,1,2,8,0.5,1e-05,8,False,0.25,,,0.001728736795485,181
20240209104309,Task 2 (50% Noise),Adversarial AE,1,2,20240209103900.0,4096,1,2,8,0.5,1e-05,8,False,0.25,0.4585006237030029,1.0036922693252563,0.0031679053790867,36
20240209104406,Task 2 (50% Noise),Vanilla AE,1,2,20240209103900.0,4096,1,2,8,0.5,1e-05,8,False,0.25,,,0.0014430083101615,105
20240209104500,Task 2 (50% Noise),Adversarial AE,1,3,20240209103900.0,4096,1,2,8,0.5,1e-05,8,False,0.25,0.3780927360057831,1.173258900642395,0.0011865640990436,35
20240209104556,Task 2 (50% Noise),Vanilla AE,1,3,20240209103900.0,4096,1,2,8,0.5,1e-05,8,False,0.25,,,0.0008628391660749,50
20240209104651,Task 2 (50% Noise),Adversarial AE,1,4,20240209103900.0,4096,1,2,8,0.5,1e-05,8,False,0.25,0.3166337609291076,1.3294063806533811,0.0014680509921163,34
20240209104747,Task 2 (50% Noise),Vanilla AE,1,4,20240209103900.0,4096,1,2,8,0.5,1e-05,8,False,0.25,,,0.0004421714693307,92
20240209104839,Task 2 (50% Noise),Adversarial AE,1,0,,4096,2,8,4,0.5,1e-06,16,True,0.5,0.592664897441864,0.8177533745765686,0.02266526222229,300
20240209105101,Task 2 (50% Noise),Vanilla AE,1,0,20240209104839.0,4096,2,8,4,0.5,1e-06,16,True,0.5,,,0.0205981079488992,300
20240209105232,Task 2 (50% Noise),Adversarial AE,1,1,20240209104839.0,4096,2,8,4,0.5,1e-06,16,True,0.5,0.6331446766853333,0.7630652785301208,0.0204273797571659,300
20240209105501,Task 2 (50% Noise),Vanilla AE,1,1,20240209104839.0,4096,2,8,4,0.5,1e-06,16,True,0.5,,,0.0219979491084814,300
20240209105634,Task 2 (50% Noise),Adversarial AE,1,2,20240209104839.0,4096,2,8,4,0.5,1e-06,16,True,0.5,0.6592673063278198,0.7302626967430115,0.0186592284590005,300
20240209105907,Task 2 (50% Noise),Vanilla AE,1,2,20240209104839.0,4096,2,8,4,0.5,1e-06,16,True,0.5,,,0.0212853457778692,300
20240209110042,Task 2 (50% Noise),Adversarial AE,1,3,20240209104839.0,4096,2,8,4,0.5,1e-06,16,True,0.5,0.6748483777046204,0.7137966156005859,0.018767649307847,300
20240209110333,Task 2 (50% Noise),Vanilla AE,1,3,20240209104839.0,4096,2,8,4,0.5,1e-06,16,True,0.5,,,0.018599584698677,300
20240209110511,Task 2 (50% Noise),Adversarial AE,1,4,20240209104839.0,4096,2,8,4,0.5,1e-06,16,True,0.5,0.631509006023407,0.7592021822929382,0.0168229267001152,300
20240209110802,Task 2 (50% Noise),Vanilla AE,1,4,20240209104839.0,4096,2,8,4,0.5,1e-06,16,True,0.5,,,0.0177016034722328,300
20240209111000,Task 2 (50% Noise),Adversarial AE,1,0,,4096,1,8,32,0.5,1e-05,32,True,0.5,0.8639332056045532,0.5672644972801208,0.0096635473892092,300
20240209111129,Task 2 (50% Noise),Vanilla AE,1,0,20240209111000.0,4096,1,8,32,0.5,1e-05,32,True,0.5,,,0.0153123782947659,94
20240209111233,Task 2 (50% Noise),Adversarial AE,1,1,20240209111000.0,4096,1,8,32,0.5,1e-05,32,True,0.5,0.7217957973480225,0.7712275981903076,0.0136581091210246,134
20240209111339,Task 2 (50% Noise),Vanilla AE,1,1,20240209111000.0,4096,1,8,32,0.5,1e-05,32,True,0.5,,,0.0173504184931516,132
