,Dataset,Input Size,Type,Classifier,Formated Results,Area Under Curve
71,Task 2 (25% Noise),4096,Adversarial AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0
72,Task 2 (25% Noise),4096,Adversarial AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0
73,Task 2 (25% Noise),4096,Adversarial AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0
74,Task 2 (25% Noise),4096,Adversarial AE,RandomForestClassifier,"0.9333 (0.9000, 1.0000)",1.0
75,Task 2 (25% Noise),4096,Adversarial AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5
0,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
1,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),GradientBoostingClassifier,"0.9270 (0.9100, 0.9600)",0.91
2,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),GMM,"0.9091 (0.8333, 1.0000)",0.5
3,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),KNeighborsClassifier,"0.9091 (0.8333, 1.0000)",0.5
4,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),LogisticRegression,"0.8655 (0.7667, 1.0000)",0.65
5,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),XGBClassifier,"0.8256 (0.8400, 0.8400)",0.6849999999999999
6,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),ExtraTreesClassifier,"0.7500 (1.0000, 0.6000)",1.0
7,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),HBOS,"0.6000 (0.4933, 0.8500)",0.425
8,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),RandomForestClassifier,"0.3333 (0.3333, 0.3333)",0.3888888888888889
9,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),COPOD,"0.1600 (0.1667, 0.1667)",0.5
10,Task 2 (10% Noise),4096,Vanilla AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
11,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
12,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),RandomForestClassifier,"0.8571 (0.7500, 1.0000)",0.6666666666666667
13,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),XGBClassifier,"0.8571 (0.7500, 1.0000)",0.7777777777777779
14,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),GradientBoostingClassifier,"0.8489 (0.8333, 0.9200)",0.8800000000000001
15,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),GMM,"0.8170 (0.7000, 1.0000)",0.5
16,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),KNeighborsClassifier,"0.8085 (0.7000, 1.0000)",0.5
17,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),LogisticRegression,"0.8085 (0.7000, 1.0000)",0.7020833333333334
18,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),HBOS,"0.6667 (0.5000, 1.0000)",0.5
19,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),COPOD,"0.1143 (0.2000, 0.0800)",0.39
20,Task 2 (10% Noise),4096,Vanilla AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
21,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),ExtraTreesClassifier,"1.0000 (1.0000, 1.0000)",1.0
22,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
23,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),GMM,"0.9091 (0.8333, 1.0000)",0.5
24,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),KNeighborsClassifier,"0.9091 (0.8333, 1.0000)",0.5
25,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),XGBClassifier,"0.9048 (1.0000, 0.8500)",0.95
26,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),RandomForestClassifier,"0.8889 (1.0000, 0.8000)",0.8
27,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),LogisticRegression,"0.8433 (0.7833, 0.9500)",0.8305555555555555
28,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),GradientBoostingClassifier,"0.8262 (0.7533, 0.9333)",0.888888888888889
29,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),HBOS,"0.6167 (0.4583, 1.0000)",0.5
30,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),COPOD,"0.1333 (0.2000, 0.1000)",0.45
31,Task 2 (10% Noise),4096,Vanilla AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
32,Task 2 (10% Noise),4096,Vanilla AE,COPOD,"1.0000 (1.0000, 1.0000)",1.0
33,Task 2 (10% Noise),4096,Vanilla AE,ExtraTreesClassifier,"1.0000 (1.0000, 1.0000)",1.0
34,Task 2 (10% Noise),4096,Vanilla AE,GMM,"1.0000 (1.0000, 1.0000)",1.0
35,Task 2 (10% Noise),4096,Vanilla AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0
36,Task 2 (10% Noise),4096,Vanilla AE,HBOS,"1.0000 (1.0000, 1.0000)",1.0
37,Task 2 (10% Noise),4096,Vanilla AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0
38,Task 2 (10% Noise),4096,Vanilla AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0
39,Task 2 (10% Noise),4096,Vanilla AE,RandomForestClassifier,"1.0000 (1.0000, 1.0000)",1.0
40,Task 2 (10% Noise),4096,Vanilla AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0
41,Task 2 (10% Noise),4096,Vanilla AE,SVC,"0.9500 (0.9200, 1.0000)",1.0
42,Task 2 (10% Noise),4096,Vanilla AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5
43,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
44,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),XGBClassifier,"0.8514 (0.9600, 0.7767)",0.8909722222222223
45,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),GradientBoostingClassifier,"0.8243 (0.8833, 0.8300)",0.925
46,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),GMM,"0.8236 (0.7333, 1.0000)",0.5
47,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),KNeighborsClassifier,"0.8236 (0.7333, 1.0000)",0.5
48,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),LogisticRegression,"0.7618 (0.7267, 0.8933)",0.8875
49,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),HBOS,"0.6511 (0.7267, 0.6833)",0.5583333333333333
50,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),RandomForestClassifier,"0.5714 (0.4000, 1.0000)",0.625
51,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),ExtraTreesClassifier,"0.5000 (0.3333, 1.0000)",0.6
52,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),COPOD,"0.3048 (0.3500, 0.3000)",0.5833333333333334
53,Task 2 (10% Noise),4096,Adversarial AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
54,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
55,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),GradientBoostingClassifier,"0.8700 (0.8167, 0.9500)",0.9125
56,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),XGBClassifier,"0.8592 (0.7933, 0.9500)",0.7027777777777777
57,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),GMM,"0.8436 (0.7333, 1.0000)",0.5
58,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),KNeighborsClassifier,"0.8436 (0.7333, 1.0000)",0.5
59,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),LogisticRegression,"0.8078 (0.6800, 1.0000)",0.6555555555555556
60,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),ExtraTreesClassifier,"0.8000 (0.6667, 1.0000)",1.0
61,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),RandomForestClassifier,"0.7500 (0.6000, 1.0000)",0.8888888888888888
62,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),HBOS,"0.6743 (0.8333, 0.6467)",0.6900000000000001
63,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),COPOD,"0.4210 (0.5667, 0.4000)",0.55
64,Task 2 (10% Noise),4096,Adversarial AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
65,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
66,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),GMM,"0.8545 (0.7500, 1.0000)",0.5
67,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),KNeighborsClassifier,"0.8545 (0.7500, 1.0000)",0.5
68,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),GradientBoostingClassifier,"0.8542 (0.8125, 0.9375)",0.8975694444444444
69,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),XGBClassifier,"0.8311 (0.7533, 0.9600)",0.7905555555555556
70,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),LogisticRegression,"0.7814 (0.6875, 0.9375)",0.4979166666666667
71,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),HBOS,"0.7000 (0.5867, 0.9500)",0.575
72,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),COPOD,"0.2933 (0.3333, 0.2667)",0.4833333333333334
73,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),ExtraTreesClassifier,"0.2857 (0.1667, 1.0000)",1.0
74,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),RandomForestClassifier,"0.2857 (0.1667, 1.0000)",0.6
75,Task 2 (10% Noise),4096,Adversarial AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
76,Task 2 (10% Noise),4096,Adversarial AE,COPOD,"1.0000 (1.0000, 1.0000)",1.0
77,Task 2 (10% Noise),4096,Adversarial AE,ExtraTreesClassifier,"1.0000 (1.0000, 1.0000)",1.0
78,Task 2 (10% Noise),4096,Adversarial AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0
79,Task 2 (10% Noise),4096,Adversarial AE,HBOS,"1.0000 (1.0000, 1.0000)",1.0
80,Task 2 (10% Noise),4096,Adversarial AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0
81,Task 2 (10% Noise),4096,Adversarial AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0
82,Task 2 (10% Noise),4096,Adversarial AE,RandomForestClassifier,"1.0000 (1.0000, 1.0000)",1.0
83,Task 2 (10% Noise),4096,Adversarial AE,SVC,"1.0000 (1.0000, 1.0000)",1.0
84,Task 2 (10% Noise),4096,Adversarial AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0
85,Task 2 (10% Noise),4096,Adversarial AE,GMM,"0.8796 (0.7933, 1.0000)",0.65
86,Task 2 (10% Noise),4096,Adversarial AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5
0,Task 1,4096,Vanilla AE (0.75 Masked),GMM,"0.7733 (0.6333, 1.0000)",0.5
1,Task 1,4096,Vanilla AE (0.75 Masked),HBOS,"0.7133 (0.6000, 0.9000)",0.45
2,Task 1,4096,Vanilla AE (0.75 Masked),GradientBoostingClassifier,"0.6730 (0.6767, 0.7500)",0.6902777777777778
3,Task 1,4096,Vanilla AE (0.75 Masked),LogisticRegression,"0.6711 (0.6733, 0.7333)",0.6083333333333333
4,Task 1,4096,Vanilla AE (0.75 Masked),XGBClassifier,"0.6457 (0.6000, 0.7500)",0.6472222222222223
5,Task 1,4096,Vanilla AE (0.75 Masked),COPOD,"0.5352 (0.7667, 0.4333)",0.5666666666666667
6,Task 1,4096,Vanilla AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
7,Task 1,4096,Vanilla AE (0.50 Masked),GMM,"0.8400 (0.7333, 1.0000)",0.5
8,Task 1,4096,Vanilla AE (0.50 Masked),XGBClassifier,"0.7925 (0.8433, 0.8000)",0.6875
9,Task 1,4096,Vanilla AE (0.50 Masked),LogisticRegression,"0.6867 (0.5333, 1.0000)",0.513888888888889
10,Task 1,4096,Vanilla AE (0.50 Masked),HBOS,"0.6533 (0.6867, 0.7167)",0.40625
11,Task 1,4096,Vanilla AE (0.50 Masked),GradientBoostingClassifier,"0.6087 (0.7433, 0.5667)",0.6875
12,Task 1,4096,Vanilla AE (0.50 Masked),COPOD,"0.3886 (0.8000, 0.2833)",0.59375
13,Task 1,4096,Vanilla AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
14,Task 1,4096,Vanilla AE (0.25 Masked),GMM,"0.7570 (0.6333, 1.0000)",0.5
15,Task 1,4096,Vanilla AE (0.25 Masked),LogisticRegression,"0.7101 (0.6267, 0.8600)",0.4905555555555556
16,Task 1,4096,Vanilla AE (0.25 Masked),HBOS,"0.6971 (0.6200, 0.9200)",0.4599999999999999
17,Task 1,4096,Vanilla AE (0.25 Masked),GradientBoostingClassifier,"0.6300 (0.7500, 0.5733)",0.6205555555555555
18,Task 1,4096,Vanilla AE (0.25 Masked),XGBClassifier,"0.6267 (0.6133, 0.6900)",0.5549999999999999
19,Task 1,4096,Vanilla AE (0.25 Masked),ExtraTreesClassifier,"0.5000 (0.3333, 1.0000)",1.0
20,Task 1,4096,Vanilla AE (0.25 Masked),KNeighborsClassifier,"0.5000 (0.3333, 1.0000)",0.5
21,Task 1,4096,Vanilla AE (0.25 Masked),COPOD,"0.3143 (0.3833, 0.3133)",0.5483333333333333
22,Task 1,4096,Vanilla AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
23,Task 1,4096,Vanilla AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0
24,Task 1,4096,Vanilla AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0
25,Task 1,4096,Vanilla AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0
26,Task 1,4096,Vanilla AE,XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0
27,Task 1,4096,Vanilla AE,COPOD,"0.9492 (0.9100, 1.0000)",0.9166666666666666
28,Task 1,4096,Vanilla AE,HBOS,"0.9214 (0.8700, 1.0000)",0.9
29,Task 1,4096,Vanilla AE,GMM,"0.7933 (0.6733, 1.0000)",0.6666666666666667
30,Task 1,4096,Vanilla AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5
31,Task 1,4096,Adversarial AE (0.75 Masked),GMM,"0.7533 (0.6333, 1.0000)",0.5
32,Task 1,4096,Adversarial AE (0.75 Masked),HBOS,"0.7433 (0.7500, 0.8500)",0.65625
33,Task 1,4096,Adversarial AE (0.75 Masked),LogisticRegression,"0.6944 (0.6000, 0.8933)",0.6266666666666667
34,Task 1,4096,Adversarial AE (0.75 Masked),GradientBoostingClassifier,"0.6576 (0.6633, 0.7167)",0.5520833333333333
35,Task 1,4096,Adversarial AE (0.75 Masked),XGBClassifier,"0.6110 (0.6867, 0.6833)",0.7138888888888889
36,Task 1,4096,Adversarial AE (0.75 Masked),COPOD,"0.4244 (0.4100, 0.4667)",0.46875
37,Task 1,4096,Adversarial AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
38,Task 1,4096,Adversarial AE (0.50 Masked),GMM,"0.7418 (0.6000, 1.0000)",0.5
39,Task 1,4096,Adversarial AE (0.50 Masked),LogisticRegression,"0.7252 (0.6000, 0.9333)",0.6488888888888888
40,Task 1,4096,Adversarial AE (0.50 Masked),GradientBoostingClassifier,"0.6690 (0.5867, 0.9000)",0.7083333333333334
41,Task 1,4096,Adversarial AE (0.50 Masked),HBOS,"0.6438 (0.5433, 0.8267)",0.4133333333333333
42,Task 1,4096,Adversarial AE (0.50 Masked),XGBClassifier,"0.6333 (0.5667, 0.8333)",0.5166666666666666
43,Task 1,4096,Adversarial AE (0.50 Masked),COPOD,"0.5400 (0.7333, 0.4467)",0.5650000000000001
44,Task 1,4096,Adversarial AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
45,Task 1,4096,Adversarial AE (0.25 Masked),HBOS,"0.8451 (0.7867, 0.9500)",0.6083333333333334
46,Task 1,4096,Adversarial AE (0.25 Masked),GMM,"0.8170 (0.7000, 1.0000)",0.5
47,Task 1,4096,Adversarial AE (0.25 Masked),KNeighborsClassifier,"0.8000 (0.6667, 1.0000)",0.5
48,Task 1,4096,Adversarial AE (0.25 Masked),LogisticRegression,"0.8000 (0.6667, 1.0000)",0.125
49,Task 1,4096,Adversarial AE (0.25 Masked),GradientBoostingClassifier,"0.7752 (0.7600, 0.7933)",0.6261111111111111
50,Task 1,4096,Adversarial AE (0.25 Masked),XGBClassifier,"0.7752 (0.7200, 0.8700)",0.5305555555555556
51,Task 1,4096,Adversarial AE (0.25 Masked),ExtraTreesClassifier,"0.7500 (0.7500, 0.7500)",0.75
52,Task 1,4096,Adversarial AE (0.25 Masked),COPOD,"0.4076 (0.6500, 0.3533)",0.51
53,Task 1,4096,Adversarial AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
54,Task 1,4096,Adversarial AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0
55,Task 1,4096,Adversarial AE,KNeighborsClassifier,"1.0000 (1.0000, 1.0000)",1.0
56,Task 1,4096,Adversarial AE,LogisticRegression,"1.0000 (1.0000, 1.0000)",1.0
57,Task 1,4096,Adversarial AE,XGBClassifier,"0.9714 (0.9500, 1.0000)",0.9666666666666666
58,Task 1,4096,Adversarial AE,COPOD,"0.9333 (0.9000, 1.0000)",0.9
59,Task 1,4096,Adversarial AE,HBOS,"0.9152 (0.8667, 1.0000)",0.85
60,Task 1,4096,Adversarial AE,GMM,"0.7672 (0.6400, 1.0000)",0.575
61,Task 1,4096,Adversarial AE,ABOD,"0.0000 (0.0000, 0.0000)",0.5
