name,dataset,type,len,attempt,leader,input_size,hidden_layers,hidden_layers_divisor,z_layer_divisor,dropout,learning_rate,batch_size,masking,mask_size,gen_loss,disc_loss,val_loss,epochs
20240209141704,Task 3,Adversarial AE,3,0,,12288,2,6,24,0.1,1e-05,8,True,0.25,0.70457613,0.6979396,0.023227088,6
20240209141849,Task 3,Adversarial AE,3,0,,12288,2,12,48,0.1,0.0001,32,True,0.25,0.3498360216617584,3.4650983810424805,0.0182464756071567,16
20240209141955,Task 3,Adversarial AE,3,0,,12288,2,24,96,0.5,0.0001,16,True,0.75,0.3958950340747833,2.62788724899292,0.0265076961368322,9
20240212142033,Task 3,Adversarial AE,3,0,,12288,1,6,24,0.5,0.0001,16,True,0.5,0.9429274797439576,0.5804670453071594,0.0212450306862592,7
20240212142411,Task 3,Adversarial AE,3,0,,12288,2,12,12,0.1,0.0001,8,False,0.25,0.6966943144798279,3.839649438858032,0.0312718152999877,3
20240212142601,Task 3,Adversarial AE,3,0,,12288,1,6,48,0.25,0.0001,32,False,0.5,1.2341731786727903,0.4228377640247345,0.0183930657804012,8
20240212142804,Task 3,Adversarial AE,3,0,,12288,2,12,12,0.1,0.0001,8,False,0.25,0.880215048789978,3.983896970748901,0.0374261848628521,4
20240212143246,Task 3,Adversarial AE,3,0,,12288,1,12,48,0.25,0.0001,16,True,0.75,0.6465949416160583,1.0452992916107178,0.0164573453366756,5
20240212143426,Task 3,Adversarial AE,3,0,,12288,1,12,96,0.1,1e-05,8,True,0.25,0.7038535475730896,0.8228288292884827,0.0165338236838579,13
20240212143724,Task 3,Adversarial AE,3,0,,12288,1,12,96,0.25,0.0001,16,True,0.75,1.2575817108154297,3.000285148620605,0.0149487815797328,12
20240212144011,Task 3,Adversarial AE,3,0,,12288,1,6,24,0.1,0.0001,8,True,0.75,0.7229363322257996,2.638468980789185,0.0173083767294883,6
20240212144223,Task 3,Adversarial AE,3,0,,12288,2,12,24,0.1,1e-05,16,True,0.25,0.6302881240844727,0.8280733227729797,0.020620634779334,11
20240212144511,Task 3,Adversarial AE,3,0,,12288,2,24,48,0.1,1e-05,16,True,0.25,0.5705181956291199,0.9084124565124512,0.0222402326762676,13
20240212144651,Task 3,Adversarial AE,3,0,,12288,1,12,48,0.5,0.0001,8,True,0.75,1.0450990200042725,2.476747751235962,0.032398410141468,2
20240212144830,Task 3,Adversarial AE,3,0,,12288,1,6,48,0.1,0.0001,16,True,0.25,0.8541446924209595,0.6287550926208496,0.0170323140919208,7
20240212145035,Task 3,Adversarial AE,3,0,,12288,1,24,48,0.25,0.0001,16,True,0.5,0.6787725687026978,1.5192959308624268,0.0197410658001899,2
20240212145327,Task 3,Adversarial AE,3,0,,12288,2,24,12,0.25,0.0001,16,True,0.25,0.6059143543243408,1.1781214475631714,0.0231405869126319,5
20240212145447,Task 3,Adversarial AE,3,0,,12288,2,24,96,0.1,0.0001,32,True,0.5,0.4690172970294952,3.856678485870361,0.0253983996808528,14
20240212145803,Task 3,Adversarial AE,3,0,,12288,1,12,96,0.5,0.0001,8,True,0.5,0.6205291748046875,1.8091888427734373,0.0343134813010692,1
